X,Y,
1000,0.00627284,100
2000,0.003139008,200
3000,0.002093246,300
4000,0.00157015,400
5000,0.001256224,500
6000,0.00104691,600
7000,0.000897387,700
8000,0.000785237,800
9000,0.000698004,900
10000,0.000628215,1000
11000,0.000571113,1100
12000,0.000523527,1200
13000,0.000483261,1300
14000,0.000448746,1400
15000,0.000418833,1500
16000,0.000392659,1600
17000,0.000369563,1700
18000,0.000349034,1800
19000,0.000330665,1900
20000,0.000314133,2000
21000,0.000299176,2100
22000,0.000285578,2200
23000,0.000273162,2300
24000,0.000261781,2400
25000,0.000251311,2500
26000,0.000241646,2600
27000,0.000232696,2700
28000,0.000224386,2800
29000,0.000216649,2900
30000,0.000209428,3000
31000,0.000202673,3100
32000,0.000196339,3200
33000,0.00019039,3300
34000,0.000184791,3400
35000,0.000179511,3500
36000,0.000174525,3600
37000,0.000169808,3700
38000,0.00016534,3800
39000,0.000161101,3900
40000,0.000157073,4000
41000,0.000153242,4100
42000,0.000149594,4200
43000,0.000146115,4300
44000,0.000142794,4400
45000,0.000139621,4500
46000,0.000136586,4600
47000,0.00013368,4700
48000,0.000130895,4800
49000,0.000128224,4900
50000,0.00012566,5000
51000,0.000123196,5100
52000,0.000120827,5200
53000,0.000118547,5300
54000,0.000116352,5400
55000,0.000114236,5500
56000,0.000112196,5600
57000,0.000110228,5700
58000,0.000108328,5800
59000,0.000106492,5900
60000,0.000104717,6000
61000,0.000103,6100
62000,0.000101339,6200
63000,9.97E-05,6300
64000,9.82E-05,6400
65000,9.67E-05,6500
66000,9.52E-05,6600
67000,9.38E-05,6700
68000,9.24E-05,6800
69000,9.11E-05,6900
70000,8.98E-05,7000
71000,8.85E-05,7100
72000,8.73E-05,7200
73000,8.61E-05,7300
74000,8.49E-05,7400
75000,8.38E-05,7500
76000,8.27E-05,7600
77000,8.16E-05,7700
78000,8.06E-05,7800
79000,7.95E-05,7900
80000,7.85E-05,8000
81000,7.76E-05,8100
82000,7.66E-05,8200
83000,7.57E-05,8300
84000,7.48E-05,8400
85000,7.39E-05,8500
86000,7.31E-05,8600
87000,7.22E-05,8700
88000,7.14E-05,8800
89000,7.06E-05,8900
90000,6.98E-05,9000
91000,6.90E-05,9100
92000,6.83E-05,9200
93000,6.76E-05,9300
94000,6.68E-05,9400
95000,6.61E-05,9500
96000,6.54E-05,9600
97000,6.48E-05,9700
98000,6.41E-05,9800
99000,6.35E-05,9900
100000,6.28E-05,10000
101000,6.22E-05,10100
102000,6.16E-05,10200
103000,6.10E-05,10300
104000,6.04E-05,10400
105000,5.98E-05,10500
106000,5.93E-05,10600
107000,5.87E-05,10700
108000,5.82E-05,10800
109000,5.76E-05,10900
110000,5.71E-05,11000
111000,5.66E-05,11100
112000,5.61E-05,11200
113000,5.56E-05,11300
114000,5.51E-05,11400
115000,5.46E-05,11500
116000,5.42E-05,11600
117000,5.37E-05,11700
118000,5.32E-05,11800
119000,5.28E-05,11900
120000,5.24E-05,12000
121000,5.19E-05,12100
122000,5.15E-05,12200
123000,5.11E-05,12300
124000,5.07E-05,12400
125000,5.03E-05,12500
126000,4.99E-05,12600
127000,4.95E-05,12700
128000,4.91E-05,12800
129000,4.87E-05,12900
130000,4.83E-05,13000
131000,4.80E-05,13100
132000,4.76E-05,13200
133000,4.72E-05,13300
134000,4.69E-05,13400
135000,4.65E-05,13500
136000,4.62E-05,13600
137000,4.59E-05,13700
138000,4.55E-05,13800
139000,4.52E-05,13900
140000,4.49E-05,14000
141000,4.46E-05,14100
142000,4.42E-05,14200
143000,4.39E-05,14300
144000,4.36E-05,14400
145000,4.33E-05,14500
146000,4.30E-05,14600
147000,4.27E-05,14700
148000,4.25E-05,14800
149000,4.22E-05,14900
150000,4.19E-05,15000
151000,0.04161,15100
152000,4.13E-05,15200
153000,4.11E-05,15300
154000,4.08E-05,15400
155000,4.05E-05,15500
156000,4.03E-05,15600
157000,4.00E-05,15700
158000,3.98E-05,15800
159000,3.95E-05,15900
160000,3.93E-05,16000
161000,3.90E-05,16100
162000,3.88E-05,16200
163000,3.85E-05,16300
164000,3.83E-05,16400
165000,3.81E-05,16500
166000,3.79E-05,16600
167000,3.76E-05,16700
168000,3.74E-05,16800
169000,3.72E-05,16900
170000,3.70E-05,17000
171000,3.67E-05,17100
172000,3.65E-05,17200
173000,3.63E-05,17300
174000,3.61E-05,17400
175000,3.59E-05,17500
176000,3.57E-05,17600
177000,3.55E-05,17700
178000,3.53E-05,17800
179000,3.51E-05,17900
180000,3.49E-05,18000
181000,3.47E-05,18100
182000,3.45E-05,18200
183000,3.43E-05,18300
184000,3.41E-05,18400
185000,3.40E-05,18500
186000,3.38E-05,18600
187000,3.36E-05,18700
188000,3.34E-05,18800
189000,3.32E-05,18900
190000,3.31E-05,19000
191000,3.29E-05,
192000,3.27E-05,
